Donor_Id,Distance_KM,Requests_Received,Requests_Accepted,Gamification_XP,Will_Respond
152,89.72,6,3,154,1
153,14.88,17,9,231,1
154,55.85,11,8,303,1
155,11.75,14,12,341,0
156,67.55,10,6,889,1
157,28.84,9,4,733,1
158,66.28,13,10,544,0
159,72.97,17,11,540,0
160,77.1,7,2,886,0
161,11.67,16,6,447,1
162,91.69,5,4,225,1
163,23.79,8,7,137,1
164,4.7,19,9,330,1
165,55.93,20,17,653,1
166,37.72,19,15,471,0
167,83.15,6,5,422,0
168,81.02,17,6,480,1
169,32.4,19,7,975,1
170,95.34,20,13,998,1
171,29.8,0,0,161,0
172,51.99,15,12,114,1
173,26.34,20,14,244,1
174,93.67,16,5,852,1
175,17.3,4,3,459,0
176,5.45,16,13,864,1
177,44.07,2,2,647,0
178,99.25,10,5,553,0
179,89.28,13,10,281,0
180,75.11,9,5,344,1
181,89.19,14,10,147,0
182,89.45,5,3,519,1
183,52.37,12,7,280,1
184,32.28,13,5,292,1
185,77.43,13,6,39,1
186,66.5,6,4,799,1
187,37.99,6,5,940,1
188,10.35,5,3,498,1
189,74.93,9,6,536,1
190,26.98,12,7,926,1
191,93.74,7,6,511,1
192,24.86,8,6,623,1
193,13.15,6,2,428,1
194,83.28,4,3,514,0
195,16.18,13,6,522,1
196,18.75,17,10,711,1
197,60.34,6,4,604,1
198,87.58,18,9,504,0
199,20.45,11,8,75,1
200,31.72,3,3,905,1
201,77.96,7,5,889,1
202,97.21,0,0,184,0
203,50.57,0,0,293,0
204,15.25,7,7,974,1
205,2.38,9,5,321,1
206,23.74,16,12,813,1
207,14.05,2,1,786,1
208,68.09,17,9,861,0
209,13.06,4,3,16,0
210,51.13,2,1,483,0
211,69.73,14,9,566,1
212,58.53,16,8,838,0
213,20.78,12,8,224,1
214,80.61,2,2,307,0
215,71.83,2,0,180,1
216,74.16,8,5,762,0
217,13.97,9,7,999,1
218,13.25,20,14,140,0
219,92.83,6,5,233,0
220,40.36,4,4,307,1
221,30.79,19,7,889,1
222,49.37,3,0,446,0
223,66.62,0,0,282,1
224,95.61,8,5,322,0
225,29.36,8,1,598,1
226,92.56,13,0,387,0
227,3.46,18,9,140,1
228,55.96,19,15,820,1
229,63.76,6,3,422,0
230,11.48,20,9,256,1
231,14.89,13,11,729,1
232,42.49,1,0,746,1
233,96.66,19,12,155,0
234,60.01,2,1,73,0
235,93.37,12,11,45,1
236,80.63,16,12,766,1
237,47.27,5,3,626,1
238,78.69,5,0,792,1
239,2.77,9,6,627,1
240,11.81,18,13,402,1
241,83.11,4,1,590,1
242,79.88,13,4,723,0
243,24.03,9,2,399,0
244,53.55,2,2,916,1
245,61.0,14,9,900,1
246,86.91,17,10,801,1
247,60.71,12,8,993,1
248,41.84,3,3,390,1
249,38.04,3,1,114,1
250,43.16,8,5,484,1
251,65.54,10,5,746,1
252,86.88,11,3,780,0
253,45.94,5,3,388,1
254,25.54,10,9,292,1
255,24.43,6,2,445,1
256,74.86,14,8,804,0
257,81.84,16,2,60,1
258,11.42,13,12,328,1
259,7.59,0,0,230,1
260,59.85,20,15,806,1
261,15.47,0,0,470,1
262,82.64,20,9,86,0
263,31.72,0,0,262,0
264,15.24,10,1,44,0
265,92.18,2,1,476,0
266,17.39,1,1,998,1
267,29.19,14,10,567,1
268,16.21,15,5,870,0
269,12.43,2,1,743,1
270,3.09,20,15,883,1
271,6.48,6,3,311,0
272,18.29,6,3,952,1
273,6.28,6,5,238,1
274,59.52,9,8,438,1
275,68.39,3,3,681,0
276,39.97,8,2,287,1
277,32.48,4,3,264,1
278,50.95,1,0,130,1
279,87.63,7,5,4,1
280,85.26,14,3,501,0
281,5.3,16,4,987,1
282,18.97,7,4,220,0
283,24.44,6,4,440,1
284,25.69,16,2,936,0
285,57.55,14,7,773,1
286,42.21,17,14,4,1
287,5.88,19,9,501,0
288,37.99,17,11,143,1
289,52.85,19,16,247,1
290,11.07,8,1,246,1
291,83.51,8,7,613,1
292,6.14,6,1,199,0
293,92.56,4,2,252,0
294,10.81,15,11,226,1
295,84.51,15,13,357,1
296,90.36,16,8,656,0
297,97.98,3,1,400,0
298,80.4,10,4,327,1
299,78.17,4,1,518,1
300,64.61,18,12,615,1
301,78.12,5,2,15,1
302,14.32,3,3,891,1
303,54.07,11,5,917,1
304,51.91,18,7,603,1
305,85.9,19,10,575,0
306,46.82,2,1,695,0
307,39.12,6,2,441,0
308,64.32,3,2,365,0
309,27.38,6,4,353,1
310,14.84,11,4,159,0
311,48.31,5,5,842,0
312,42.27,1,1,320,1
313,24.02,10,9,284,1
314,37.38,1,0,965,1
315,37.27,4,4,507,0
316,33.42,0,0,622,1
317,38.57,1,1,245,0
318,68.89,9,5,277,1
319,30.39,17,8,729,1
320,94.94,16,12,451,0
321,91.72,2,2,147,1
322,48.61,0,0,836,0
323,33.51,7,6,403,1
324,54.01,13,6,669,0
325,85.01,15,10,341,1
326,65.61,17,2,561,0
327,80.63,7,6,776,1
328,53.74,3,1,886,1
329,63.66,0,0,207,0
330,29.53,3,2,673,1
331,73.75,1,0,915,0
332,21.04,18,15,643,1
333,69.79,5,1,143,0
334,86.21,17,5,189,0
335,14.08,11,5,203,1
336,61.82,11,1,106,0
337,10.41,9,5,754,1
338,72.85,17,4,966,1
339,9.36,0,0,517,0
340,93.66,1,0,599,1
341,14.6,8,2,774,1
342,95.93,8,6,416,1
343,80.29,11,5,472,1
344,59.77,15,11,589,1
345,78.48,12,3,304,0
346,79.72,5,3,61,1
347,94.66,6,3,568,0
348,26.08,15,8,822,1
349,59.42,4,2,73,1
350,10.41,10,7,216,1
351,62.0,11,5,263,0
352,17.96,15,13,805,1
353,56.93,15,9,505,1
354,57.67,9,8,534,0
355,47.13,6,4,645,0
356,52.74,7,6,276,0
357,76.63,8,3,714,1
358,80.13,4,1,30,1
359,49.72,13,4,113,1
360,60.36,4,2,816,1
361,93.19,13,9,658,1
362,12.85,15,15,176,1
363,12.59,20,16,439,1
364,9.68,2,1,51,1
365,66.13,15,10,672,0
366,42.44,1,1,756,0
367,77.66,7,5,278,0
368,67.45,3,1,350,1
369,34.03,3,1,237,0
370,89.94,3,1,389,0
371,76.49,0,0,272,0
372,27.78,17,8,247,0
373,37.06,1,1,430,1
374,32.13,8,6,860,1
375,16.6,14,11,763,1
376,15.63,20,15,297,1
377,93.68,17,7,943,0
378,44.35,2,1,210,1
379,38.95,20,14,911,1
380,73.24,13,8,309,0
381,55.75,3,3,540,1
382,93.68,9,6,203,1
383,78.25,19,10,762,0
384,48.46,8,4,317,0
385,38.26,3,0,873,0
386,98.68,18,9,83,0
387,72.06,20,6,502,0
388,95.17,20,3,158,0
389,12.73,20,17,889,1
390,85.2,18,12,417,0
391,64.07,9,2,675,1
392,13.07,4,3,880,0
393,59.24,12,7,536,0
394,68.92,4,1,57,1
395,2.22,9,0,220,1
396,45.98,13,3,212,1
397,82.71,19,15,915,0
398,30.24,6,3,909,1
399,46.4,5,1,477,1
400,44.79,15,4,890,1
401,30.89,0,0,246,0
402,91.93,11,2,680,1
403,78.35,15,14,392,1
404,11.95,11,6,240,1
405,99.71,8,7,250,1
406,88.04,17,11,420,1
407,29.11,7,5,339,1
408,83.85,14,8,211,0
409,11.54,9,6,334,1
410,99.91,0,0,128,0
411,66.9,11,3,970,1
412,65.36,1,1,380,1
413,9.95,19,17,107,1
414,89.81,12,4,576,1
415,3.87,7,1,884,1
416,24.84,10,4,360,0
417,15.16,13,9,846,1
418,77.9,5,4,611,1
419,20.62,6,2,739,1
420,91.15,8,8,296,1
421,65.97,5,0,36,0
422,4.58,15,6,346,0
423,1.54,2,1,925,0
424,6.11,17,12,791,1
425,60.99,7,1,784,1
426,80.35,11,5,879,0
427,24.62,3,2,373,1
428,85.09,8,5,322,1
429,6.67,15,2,926,1
430,80.3,5,2,572,1
431,92.85,2,1,298,1
432,77.44,10,6,278,1
433,70.11,3,3,878,1
434,83.96,6,5,53,0
435,4.97,9,5,61,0
436,20.98,11,1,738,1
437,13.37,13,6,1,0
438,50.95,14,3,171,1
439,74.77,17,2,991,0
440,63.37,1,0,426,0
441,85.26,7,3,728,1
442,16.37,0,0,487,1
443,73.73,0,0,90,0
444,20.11,4,0,184,0
445,27.81,12,9,761,1
446,71.28,18,14,94,0
447,98.04,16,6,595,0
448,61.54,13,11,348,1
449,6.4,16,5,370,1
450,62.01,3,2,953,0
451,5.19,17,15,606,1
452,88.53,18,5,615,0
453,71.25,1,0,350,1
454,18.14,9,7,381,1
455,10.08,17,14,686,1
456,19.17,9,8,38,1
457,98.02,17,13,237,0
458,46.4,19,4,600,1
459,78.62,9,9,624,1
460,64.0,1,0,92,0
461,57.67,7,5,788,1
462,15.37,4,1,543,1
463,94.66,9,7,237,0
464,30.83,12,3,752,1
465,58.22,9,7,991,1
466,70.28,4,1,424,0
467,65.27,6,3,283,1
468,94.12,14,8,299,0
469,15.7,0,0,593,0
470,51.33,4,1,47,1
471,41.0,18,6,483,1
472,47.94,2,1,24,0
473,12.8,8,7,38,1
474,14.28,4,3,430,0
475,28.53,2,1,746,1
476,31.17,8,2,884,1
477,43.36,10,7,87,1
478,61.49,3,3,244,1
479,63.83,1,1,422,1
480,41.77,2,2,574,0
481,41.47,13,9,988,0
482,22.55,18,13,684,1
483,59.24,3,3,538,1
484,32.39,6,3,60,1
485,4.57,7,5,80,1
486,42.42,7,6,153,1
487,47.94,5,1,661,1
488,23.33,1,1,331,0
489,57.67,11,9,241,0
490,57.01,7,1,670,0
491,70.5,7,2,816,0
492,65.15,5,3,439,1
493,65.59,19,6,882,1
494,32.31,12,6,734,1
495,78.96,8,4,716,1
496,55.37,4,2,868,1
497,43.71,16,7,183,0
498,62.98,18,9,759,1
499,36.71,0,0,958,1
500,51.76,19,9,993,1
501,73.93,14,9,578,0
502,88.75,2,1,755,1
503,92.18,15,13,889,1
504,50.86,2,2,853,1
505,52.51,1,0,898,0
506,80.19,2,2,833,0
507,32.13,9,6,381,1
508,83.9,13,2,730,0
509,49.92,8,3,410,1
510,12.47,2,2,802,1
511,8.13,4,1,811,1
512,84.36,17,9,935,1
513,6.5,20,9,588,1
514,28.78,15,9,475,1
515,34.08,2,1,165,1
516,18.13,17,9,638,0
517,32.08,14,6,566,0
518,74.53,11,3,515,1
519,2.45,3,3,677,1
520,82.89,20,14,851,0
521,85.8,9,8,148,1
522,37.85,0,0,431,0
523,16.21,4,2,723,1
524,60.48,8,3,820,0
525,12.85,1,1,779,1
526,37.13,6,4,800,1
527,95.88,9,8,855,1
528,99.55,19,11,962,1
529,77.44,1,0,608,1
530,31.79,12,9,249,0
531,69.08,19,2,564,1
532,70.84,16,8,710,1
533,39.4,19,7,100,1
534,64.45,3,0,757,1
535,2.06,16,6,544,1
536,21.7,20,13,937,0
537,52.98,6,6,212,0
538,17.21,10,3,907,1
539,17.42,11,4,448,1
540,83.79,10,9,574,1
541,98.92,6,2,660,0
542,56.04,20,16,579,1
543,84.07,20,13,904,1
544,99.04,7,5,167,0
545,15.02,16,14,730,1
546,45.38,8,2,975,0
547,39.86,16,9,220,1
548,8.92,12,9,255,1
549,75.78,9,2,475,1
550,43.94,2,2,725,0
551,47.46,13,11,959,1
552,15.92,6,1,796,1
553,18.91,4,1,794,1
554,90.8,4,4,441,1
555,5.42,20,7,646,1
556,24.05,2,2,211,0
557,29.91,16,10,463,1
558,49.53,18,8,189,1
559,59.06,0,0,27,0
560,49.84,12,4,857,0
561,9.33,12,12,805,1
562,25.12,7,2,511,0
563,84.52,14,7,14,0
564,64.12,8,2,90,1
565,65.27,9,2,111,1
566,67.35,9,6,717,1
567,76.53,16,9,203,1
568,6.75,13,10,250,0
569,37.29,7,5,861,1
570,54.41,19,11,877,1
571,34.51,16,12,763,1
572,84.6,19,7,309,0
573,48.77,15,5,580,1
574,77.09,8,5,200,1
575,85.35,16,5,858,0
576,50.97,6,3,84,1
577,91.05,5,4,745,1
578,59.13,9,4,512,1
579,85.18,20,9,758,1
580,34.72,11,3,451,0
581,50.38,8,2,158,0
582,53.61,9,2,752,1
583,11.39,6,5,631,1
584,40.46,13,5,465,0
585,91.82,7,5,373,1
586,63.45,11,3,344,0
587,18.57,7,5,481,1
588,34.55,6,2,261,1
589,19.97,20,14,282,1
590,3.46,7,4,278,1
591,92.82,1,0,12,0
592,45.37,7,5,928,1
593,31.45,11,7,236,0
594,60.25,1,0,165,1
595,1.72,6,3,151,0
596,28.52,3,2,989,1
597,70.6,10,4,477,0
598,63.74,15,6,327,0
599,98.2,20,9,404,0
600,62.42,8,3,88,0
601,48.27,18,12,313,0
602,76.38,4,2,248,0
603,90.43,16,13,804,0
604,72.35,11,10,58,0
605,96.36,15,11,425,1
606,78.42,15,9,790,1
607,86.81,11,6,834,1
608,12.3,5,4,513,1
609,73.51,11,4,222,1
610,44.57,17,4,337,1
611,55.76,20,12,222,1
612,65.76,19,11,662,0
613,97.01,3,2,292,0
614,98.47,12,5,631,1
615,29.53,2,1,656,1
616,73.64,14,10,940,1
617,75.25,20,12,370,1
618,35.3,1,0,962,1
619,13.26,13,1,401,0
620,5.05,19,5,681,0
621,77.96,17,6,662,0
622,49.48,8,1,818,0
623,98.57,2,0,469,1
624,47.03,19,11,793,1
625,97.81,19,7,355,1
626,41.75,12,9,491,1
627,79.57,20,11,500,0
628,9.4,0,0,705,1
629,55.99,12,4,618,1
630,80.4,0,0,78,1
631,92.55,19,8,809,1
632,82.44,14,11,758,1
633,4.66,19,16,104,0
634,37.9,11,10,962,1
635,5.82,1,0,661,1
636,11.82,0,0,85,1
637,67.86,7,2,491,1
638,71.61,15,12,836,1
639,77.6,3,2,280,0
640,86.68,17,12,933,0
641,74.2,5,4,418,0
642,80.29,10,5,226,1
643,5.85,4,4,356,1
644,24.22,9,6,525,0
645,62.57,9,3,688,1
646,85.95,0,0,928,1
647,1.45,11,2,195,0
648,51.95,16,15,961,0
649,68.05,19,14,528,1
650,3.93,6,1,128,0
651,40.73,18,12,927,1
652,89.67,18,3,349,0
653,67.49,20,16,621,1
654,24.53,7,5,698,1
655,85.43,17,13,13,0
656,35.46,11,8,221,1
657,85.48,1,1,687,1
658,30.6,5,2,325,1
659,59.44,14,9,9,0
660,40.3,3,0,23,1
661,28.21,9,7,827,0
662,88.77,16,8,153,0
663,19.57,3,2,100,1
664,9.4,10,3,562,0
665,34.85,4,4,119,1
666,72.05,11,6,653,1
667,80.94,5,4,544,1
668,99.88,20,11,649,1
669,30.34,1,0,492,1
670,41.39,20,5,779,1
671,14.55,16,11,645,1
672,57.91,17,9,415,0
673,99.76,17,9,15,0
674,70.39,3,2,273,1
675,59.93,19,10,131,0
676,39.84,12,5,15,1
677,91.61,20,8,273,0
678,50.19,18,18,206,1
679,14.3,12,5,76,1
680,37.17,7,6,312,1
681,7.65,2,2,507,1
682,21.0,2,2,178,1
683,2.75,8,7,273,0
684,45.87,17,3,20,1
685,63.82,10,8,50,1
686,34.99,10,6,157,1
687,42.62,5,4,453,1
688,95.96,11,3,666,1
689,75.44,13,9,789,0
690,54.54,20,18,630,1
691,29.17,15,6,617,1
692,89.8,12,7,936,1
693,24.27,19,12,255,0
694,33.21,8,1,798,0
695,91.0,19,13,937,1
696,53.42,7,7,568,1
697,74.49,2,1,841,1
698,59.48,8,1,137,1
699,65.69,2,1,879,0
700,30.64,2,1,564,1
701,24.9,18,10,221,1
702,32.93,16,12,61,1
703,16.39,4,4,720,1
704,87.56,17,8,431,1
705,29.04,1,0,310,1
706,56.59,5,5,390,0
707,79.41,14,10,992,1
708,78.6,6,1,428,0
709,44.4,15,4,78,0
710,48.15,18,6,280,1
711,99.48,1,1,145,0
712,67.79,0,0,686,0
713,81.65,19,17,801,1
714,90.35,10,8,841,1
715,78.97,10,7,633,1
716,19.33,9,4,769,1
717,56.65,9,1,417,0
718,11.09,14,12,628,0
719,65.64,12,11,107,1
720,95.58,3,0,538,1
721,51.76,13,6,558,0
722,43.86,14,6,31,0
723,4.55,2,1,548,1
724,96.02,7,2,723,0
725,11.2,16,12,367,1
726,5.07,12,3,545,0
727,25.36,2,2,286,1
728,7.49,0,0,271,1
729,46.06,12,6,129,1
730,52.09,9,5,328,0
731,31.94,20,12,803,0
732,6.05,10,4,936,1
733,12.05,19,7,636,1
734,39.07,4,2,624,1
735,6.99,9,7,614,1
736,70.12,2,2,476,1
737,21.5,12,2,423,0
738,30.91,3,0,621,0
739,40.02,10,3,785,1
740,42.24,7,5,414,1
741,1.16,3,2,566,1
742,12.09,2,1,470,1
743,86.41,10,5,285,0
744,1.12,19,5,290,1
745,51.31,4,3,78,1
746,49.46,8,2,440,1
747,33.98,4,0,713,1
748,43.7,16,11,686,0
749,78.28,8,3,986,1
750,84.28,20,8,39,0
751,26.77,5,2,761,0
752,32.93,1,0,795,1
753,25.01,12,7,436,1
754,48.51,13,10,283,1
755,68.64,20,15,357,0
756,23.6,18,9,683,1
757,33.74,18,16,863,1
758,93.11,13,9,643,1
759,5.81,7,2,514,1
760,46.62,9,5,653,1
761,71.44,2,2,70,0
762,15.89,9,8,608,1
763,5.69,7,5,42,1
764,14.68,0,0,960,0
765,91.96,4,3,890,1
766,1.92,11,2,508,1
767,19.64,7,3,374,1
768,4.1,20,12,733,1
769,11.95,10,7,638,0
770,62.39,20,16,706,1
771,24.92,13,6,516,1
772,57.35,0,0,236,1
773,59.43,4,3,73,0
774,85.09,14,8,283,1
775,1.47,11,9,529,1
776,85.48,6,0,424,0
777,62.29,10,6,506,0
778,17.11,18,6,277,1
779,77.52,8,5,938,1
780,85.69,0,0,367,1
781,26.17,6,2,847,1
782,91.96,19,7,391,0
783,45.99,15,10,444,1
784,60.74,17,11,604,1
785,98.48,19,6,263,1
786,36.79,2,1,220,0
787,81.5,5,5,379,1
788,32.52,1,0,805,1
789,80.12,0,0,144,0
790,60.47,17,5,437,1
791,22.42,19,17,672,1
792,41.99,3,2,706,0
793,32.45,15,12,434,1
794,8.73,11,3,81,1
795,3.95,1,1,15,0
796,35.3,19,2,470,1
797,2.88,18,13,810,0
798,17.38,11,2,28,1
799,72.79,14,2,888,1
800,71.1,8,7,676,0
801,74.12,16,12,8,0
802,32.4,9,4,344,1
803,89.11,20,13,220,0
804,59.79,1,0,950,0
805,13.48,3,1,555,1
806,15.23,20,10,324,1
807,69.62,6,3,278,0
808,18.12,6,2,564,1
809,51.22,16,8,5,0
810,99.19,3,3,257,1
811,1.4,10,8,165,1
812,2.64,6,1,620,1
813,99.32,4,1,669,0
814,58.88,20,8,467,1
815,13.56,4,0,140,1
816,89.83,1,0,370,0
817,88.16,14,3,843,0
818,54.08,18,14,203,1
819,62.56,2,1,163,0
820,28.05,14,11,111,0
821,6.0,11,3,817,1
822,59.86,17,2,119,1
823,30.18,2,1,582,0
824,66.7,20,5,1000,1
825,83.79,13,6,642,0
826,2.8,17,14,412,1
827,59.98,7,3,207,0
828,23.9,19,7,1,1
829,87.51,13,4,155,0
830,26.11,2,1,953,1
831,61.47,19,11,143,0
832,55.8,16,8,19,0
833,40.22,6,6,816,1
834,68.08,11,6,419,1
835,72.85,8,5,357,1
836,57.13,11,8,718,0
837,76.08,20,9,523,0
838,98.36,18,10,915,1
839,42.51,4,4,468,1
840,51.94,20,3,713,1
841,2.23,9,1,879,1
842,79.81,14,4,464,1
843,52.5,16,14,284,0
844,41.39,10,7,975,1
845,10.31,9,4,227,1
846,89.08,9,3,39,0
847,40.11,18,13,578,1
848,68.58,8,7,987,1
849,15.79,5,0,86,0
850,96.19,7,3,850,1
851,18.67,4,0,831,0
852,20.75,8,8,929,1
853,86.04,2,0,421,0
854,91.35,1,1,255,1
855,22.0,15,8,512,1
856,47.51,1,1,142,1
857,73.62,11,5,843,1
858,87.96,16,8,663,0
859,38.53,15,11,483,1
860,52.18,9,3,516,0
861,74.43,4,2,712,0
862,73.38,19,5,523,1
863,78.51,17,11,840,1
864,57.42,12,7,925,1
865,11.36,1,1,950,1
866,90.49,0,0,620,1
867,86.69,6,0,743,1
868,80.01,3,2,311,0
869,10.89,18,8,38,1
870,21.24,4,3,400,1
871,74.62,5,3,872,0
872,3.29,20,12,133,1
873,97.94,17,6,546,1
874,38.34,4,2,192,1
875,72.21,8,3,429,1
876,88.87,10,5,143,0
877,40.07,13,12,735,1
878,32.59,19,14,811,0
879,61.27,18,6,759,1
880,58.52,20,12,705,1
881,41.5,0,0,235,0
882,60.58,4,2,530,1
883,93.6,11,4,104,0
884,47.3,1,1,374,1
885,20.48,7,2,506,1
886,38.34,3,3,669,1
887,40.02,19,18,96,0
888,13.98,1,0,813,1
889,17.12,3,3,459,1
890,68.77,4,1,882,0
891,34.61,3,2,528,1
892,95.53,11,8,547,1
893,25.12,7,3,693,0
894,10.79,19,6,820,1
895,75.6,5,3,157,1
896,88.22,11,10,511,1
897,28.53,13,5,29,1
898,21.01,13,5,475,1
899,19.39,16,6,814,0
900,52.68,4,3,866,1
901,47.37,10,7,283,0
902,26.68,16,11,386,1
903,5.47,18,12,552,1
904,48.67,12,11,396,1
905,95.97,13,10,178,0
906,65.6,18,10,305,1
907,50.06,13,11,404,1
908,11.96,19,10,519,1
909,25.99,2,0,921,1
910,30.18,7,6,545,1
911,76.72,2,2,387,1
912,87.79,1,1,661,1
913,90.26,9,2,773,0
914,98.47,4,2,430,0
915,98.25,8,2,489,1
916,95.35,9,2,218,0
917,8.11,13,7,865,1
918,14.64,19,8,867,1
919,31.14,17,5,175,0
920,55.74,7,7,346,1
921,10.6,6,2,272,1
922,84.73,16,6,923,0
923,62.06,2,0,65,1
924,54.69,11,3,207,0
925,17.37,8,7,315,1
926,26.07,3,3,560,1
927,16.87,12,4,249,0
928,85.34,6,2,537,0
929,58.84,3,3,747,1
930,73.78,13,8,829,1
931,30.31,3,1,99,1
932,37.75,14,12,138,0
933,41.08,3,3,95,1
934,76.24,9,5,910,1
935,77.46,16,10,652,1
936,21.47,4,4,531,0
937,94.21,16,8,791,0
938,12.94,15,10,586,1
939,89.72,18,6,235,0
940,10.94,3,1,510,1
941,27.19,15,12,703,0
942,84.8,19,7,36,1
943,18.77,16,5,606,1
944,41.94,3,2,497,0
945,45.54,17,12,69,1
946,25.28,2,1,263,0
947,71.31,12,2,448,0
948,85.28,10,5,343,0
949,87.58,11,9,290,1
950,34.59,10,7,649,1
951,53.55,0,0,404,1
952,25.59,10,8,498,1
953,25.23,19,11,799,0
954,16.96,9,5,93,0
955,94.06,5,5,360,0
956,88.91,20,9,73,1
957,77.96,2,0,928,1
958,52.25,10,2,185,0
959,49.57,10,5,820,1
960,53.44,10,6,191,1
961,54.12,19,17,324,0
962,44.02,8,5,608,1
963,14.04,20,3,832,1
964,13.44,1,0,177,1
965,95.27,15,8,213,0
966,48.72,12,7,882,1
967,95.37,5,4,322,1
968,17.19,4,2,209,0
969,55.89,15,5,744,1
970,21.56,13,5,91,0
971,26.07,12,9,867,1
972,3.98,1,1,876,1
973,12.78,12,9,857,1
974,91.77,20,12,295,0
975,32.83,0,0,114,1
976,61.2,9,0,425,1
977,47.04,10,4,334,1
978,40.64,18,5,959,0
979,53.66,5,1,632,1
980,19.54,9,9,945,1
981,98.87,15,9,751,0
982,82.01,1,1,715,1
983,74.42,16,4,111,1
984,47.41,17,9,69,0
985,16.13,15,10,46,0
986,92.15,13,5,593,1
987,34.8,15,9,201,0
988,5.96,16,11,990,1
989,34.9,18,6,132,0
990,79.65,8,8,947,1
991,62.65,9,9,668,0
992,75.33,13,11,106,1
993,79.57,4,2,58,0
